,Loss deep CNN,Loss big fc,Loss multi fc,Loss alexnet,Loss lenet
0,0.3245956301689148,0.5516757369041443,0.5891481041908264,0.43713998794555664,0.6527878642082214
1,0.3638736307621002,0.7135969996452332,0.44565868377685547,0.4182204306125641,0.43773844838142395
2,0.24310420453548431,0.47711265087127686,3.9119956493377686,0.4268193244934082,0.3390197455883026
3,0.4846239984035492,0.3774828016757965,2.384350299835205,0.3279404938220978,0.22582243382930756
4,0.27016207575798035,0.5647057294845581,2.3329365253448486,0.3926130533218384,0.31283751130104065
5,0.18988661468029022,0.31864622235298157,2.3147964477539062,0.22690469026565552,0.31983253359794617
6,0.28134939074516296,0.40281060338020325,2.334632635116577,0.3093133270740509,0.25007766485214233
7,0.3872483968734741,0.5069738030433655,2.3238320350646973,0.24380134046077728,0.2499876618385315
8,0.16412092745304108,0.33937105536460876,2.3130342960357666,0.22341686487197876,0.29981729388237
9,0.16116420924663544,0.4548870027065277,2.306831121444702,0.3513611853122711,0.3396100103855133
